cutedge,competitiveness_index
589,0
605,0
605,0
606,0
628,0
652,0
676,0
629,0
638,0
643,1
615,1
590,0
558,0
583,0
586,0
608,1
624,1
615,1
610,1
593,2
605,3
595,3
607,0
588,0
586,0
593,0
590,1
590,1
577,1
590,2
608,3
612,3
572,3
561,0
588,0
607,0
618,0
623,1
614,1
615,1
611,2
613,3
605,3
599,3
585,0
585,0
602,0
589,0
618,1
627,1
611,1
614,1
619,2
622,2
630,2
637,0
624,0
695,0
710,0
740,1
739,1
748,1
742,1
709,2
627,2
613,2
614,0
601,0
615,0
624,0
642,1
623,1
590,1
598,1
600,2
596,2
611,2
628,0
629,0
612,0
600,0
590,1
596,1
612,1
614,1
593,2
593,2
593,2
601,0
622,0
619,0
627,0
617,1
604,1
632,1
629,1
669,2
664,2
641,2
600,0
565,0
554,0
533,0
549,1
558,1
572,1
563,1
567,2
540,2
531,2
520,0
517,0
518,0
511,0
519,0
532,1
547,1
559,1
563,2
563,2
556,2
545,0
551,0
551,0
542,0
561,0
579,1
583,1
564,1
599,2
606,2
603,2
589,0
581,0
591,0
575,0
535,0
530,0
520,0
532,0
535,0
536,0
539,0
551,0
545,0
529,0
510,0
512,0
498,0
521,0
536,0
541,0
523,0
565,0
595,0
650,0
635,0
652,0
619,0
614,0
560,0
612,0
617,0
620,0
621,0
617,0
631,0
594,0
595,0
618,0
605,0
612,0
588,0
621,0
602,0
592,0
586,0
597,0
617,0
641,0
662,0
636,0
636,0
648,0
652,0
608,0
598,0
602,0
597,0
594,0
608,0
615,0
618,0
605,0
621,0
639,0
630,0
603,0
597,0
609,0
614,0
610,0
615,0
608,0
594,0
590,0
586,0
578,0
580,0
641,0
648,0
638,0
619,0
616,0
622,0
615,0
594,0
582,0
573,0
578,0
577,0
581,0
567,0
572,0
579,0
578,0
568,0
554,0
593,0
602,0
596,0
567,0
558,0
554,0
554,0
544,0
542,0
538,0
520,0
512,0
510,0
516,0
547,0
565,0
566,0
603,0
618,0
613,0
604,0
598,0
602,0
606,0
605,0
602,0
603,0
580,0
573,0
579,0
604,0
615,0
612,0
591,0
562,0
595,0
588,0
583,0
602,0
614,1
538,1
519,1
519,1
572,2
592,2
586,2
584,2
575,0
567,0
578,0
586,1
583,1
588,1
596,1
545,2
573,2
580,2
585,2
563,0
571,0
564,0
559,1
554,1
549,1
569,1
565,2
570,2
594,2
597,2
583,0
588,0
568,0
571,0
568,0
571,0
550,0
544,1
538,2
555,2
558,2
552,0
548,0
555,0
569,0
572,0
593,0
595,0
603,1
599,2
593,2
593,2
603,0
626,0
605,0
593,0
591,0
587,0
562,0
576,1
576,2
576,2
585,2
605,0
602,0
590,0
613,0
631,0
634,0
609,0
621,1
621,2
618,2
620,2
619,0
629,0
613,0
632,0
631,0
659,0
637,0
622,1
637,2
601,2
589,2
591,0
603,0
595,0
606,0
613,0
625,0
629,0
631,1
634,2
643,2
647,2
653,0
627,0
604,0
602,1
595,1
597,1
609,1
596,2
577,3
577,3
577,3
578,0
580,0
595,0
595,1
566,1
581,1
581,1
567,2
583,3
583,3
580,3
600,0
602,0
598,0
589,1
576,1
590,1
631,1
633,1
653,1
636,1
613,1
604,0
578,0
588,0
576,0
589,0
615,0
619,0
586,0
595,1
594,1
580,1
587,0
588,0
592,0
580,0
540,0
536,0
541,1
540,1
518,1
522,1
538,1
558,0
558,0
557,0
568,0
551,1
552,1
537,1
527,1
530,1
536,1
545,1
543,0
545,0
539,0
549,0
549,1
560,1
575,1
552,1
567,1
580,1
596,1
601,0
591,0
598,0
600,0
583,0
578,0
581,0
577,0
581,1
594,1
587,1
592,0
596,0
588,0
587,0
585,0
583,0
594,0
613,0
591,1
596,1
589,1
600,0
560,0
564,0
562,0
585,0
580,0
589,0
609,0
630,1
582,1
564,1
569,0
562,0
580,0
593,0
607,0
620,0
589,0
590,0
612,1
590,1
597,1
608,0
616,0
609,0
610,0
590,0
593,0
590,0
607,0
615,1
597,1
592,1
660,0
658,0
665,0
653,0
630,0
650,0
649,0
658,0
680,1
656,1
676,1
671,0
662,0
647,0
655,0
655,0
600,0
605,0
631,0
625,1
594,1
590,1
591,0
621,0
603,0
586,0
588,0
599,0
603,0
611,0
610,1
611,1
615,1
619,0
653,0
630,0
624,0
636,0
621,0
591,0
589,0
607,1
608,1
600,1
618,0
634,0
634,1
634,1
626,1
597,1
593,1
592,1
614,2
603,2
588,2
592,0
603,0
601,0
592,0
586,0
561,0
549,0
548,0
561,1
575,1
558,1
550,0
544,0
558,0
559,0
558,0
555,0
544,0
565,0
561,0
579,0
545,1
545,0
579,0
554,0
570,1
571,1
570,1
573,1
546,1
535,1
570,1
581,1
594,0
601,0
575,0
564,1
554,1
587,1
609,1
612,1
623,1
646,1
647,1
657,0
646,0
638,0
619,0
618,0
583,0
577,1
612,1
627,1
645,1
646,1
632,0
636,0
611,0
652,0
645,0
661,0
645,1
621,1
578,1
567,1
588,1
592,0
594,1
592,1
580,1
578,1
579,1
594,2
573,2
564,2
574,2
553,3
552,0
552,1
571,1
554,1
566,1
561,1
566,2
580,2
585,2
583,2
584,2
591,0
648,1
648,1
618,1
618,1
611,1
614,2
584,2
583,2
595,2
578,2
580,0
588,0
585,0
587,0
593,0
586,0
599,1
615,1
627,1
612,1
602,1
597,0
582,0
575,0
569,0
559,1
585,1
577,1
583,1
585,1
587,1
602,1
609,0
602,0
617,0
630,0
657,0
651,0
652,0
661,0
659,0
661,1
655,1
623,0
647,0
639,0
642,0
642,0
643,0
615,0
608,0
629,0
604,1
596,1
566,0
555,1
564,1
539,1
574,1
576,1
573,1
557,1
602,1
625,2
617,2
620,0
625,1
626,1
601,1
596,1
619,1
615,1
611,1
631,1
638,2
631,3
616,0
623,1
613,1
639,2
644,2
638,2
619,2
649,2
654,2
652,2
688,3
662,0
651,1
657,1
658,2
642,2
613,2
607,2
625,2
624,2
608,2
582,3
618,0
619,1
619,1
603,2
567,2
575,2
596,2
596,2
607,2
585,2
618,3
590,0
596,1
608,1
623,1
643,1
643,1
648,1
657,1
653,1
668,1
682,2
680,0
662,1
624,1
605,1
596,1
580,1
554,1
560,1
573,1
571,1
578,2
601,0
612,1
600,1
602,1
605,1
624,1
616,1
590,1
596,1
585,1
614,2
654,0
637,1
648,1
614,1
647,1
626,1
600,1
584,1
606,1
573,1
550,2
561,0
588,1
592,1
594,2
590,2
621,2
610,2
622,2
581,2
596,2
631,2
635,0
635,1
644,1
659,2
625,2
608,2
596,2
541,2
551,2
544,2
550,2
541,0
539,1
565,1
565,2
563,2
596,2
592,2
636,2
651,2
653,2
661,2
631,0
583,1
586,1
602,1
606,1
639,1
635,2
632,2
650,2
656,2
637,2
617,0
613,1
618,1
638,1
675,1
675,1
666,2
639,2
639,2
643,2
627,2
669,0
649,1
658,1
693,1
660,1
693,1
644,2
600,2
605,2
594,2
591,2
594,0
610,1
629,1
661,1
633,1
637,1
642,2
657,2
689,2
665,2
686,2
677,0
678,1
675,1
680,1
670,1
680,1
666,2
662,2
682,2
680,2
686,2
691,0
676,1
679,1
674,1
682,1
670,1
689,2
660,2
688,2
708,2
695,2
678,0
678,1
679,1
690,1
710,1
692,1
694,2
688,2
671,2
661,2
666,2
649,0
673,1
650,1
687,1
661,1
663,1
652,2
666,2
667,2
692,2
688,2
678,0
659,1
663,1
636,1
627,1
656,1
640,2
660,2
664,2
651,2
649,2
657,0
643,1
675,1
660,1
667,1
683,1
683,2
674,2
682,2
690,2
672,2
670,0
670,1
645,1
655,1
655,1
670,1
670,2
645,2
638,2
626,2
654,2
681,0
692,0
699,0
710,0
719,0
694,0
702,1
720,1
741,2
700,2
693,2
672,0
650,0
618,0
628,0
616,0
613,0
638,1
652,1
652,2
648,2
637,2
626,0
632,0
678,0
669,0
692,0
692,0
697,1
675,1
660,2
653,2
643,3
637,0
649,0
610,0
602,0
575,0
616,0
609,1
607,1
620,2
619,2
672,3
661,0
641,0
639,0
616,0
610,0
601,0
575,1
563,1
581,2
574,2
576,3
559,0
544,0
535,0
538,0
531,0
546,0
538,1
547,1
535,2
548,2
572,3
561,0
566,0
579,0
569,0
548,1
556,1
554,1
526,1
511,2
531,2
538,3
541,0
538,0
521,0
523,0
531,1
526,1
551,1
548,1
515,2
521,2
517,3
523,0
539,1
551,1
572,1
588,2
581,2
580,2
580,2
585,3
570,3
590,3
567,0
569,0
590,0
594,0
623,1
611,1
587,1
614,1
631,2
617,3
626,3
643,0
649,0
645,0
644,0
643,1
652,1
652,1
682,1
676,1
646,2
650,2
646,0
648,0
625,0
640,1
663,2
638,2
629,2
638,2
624,2
615,2
611,2
604,0
617,0
604,0
608,1
599,2
591,2
580,2
574,2
528,2
559,2
566,2
610,0
601,0
611,0
594,1
612,2
602,2
607,2
570,2
570,2
556,2
562,2
566,0
561,0
602,0
606,1
597,2
584,2
551,2
566,2
571,3
597,3
622,3
622,0
584,0
581,0
599,1
595,2
596,2
602,2
602,2
609,3
603,3
611,3
594,0
607,0
618,0
585,1
607,2
622,2
601,2
642,2
613,3
631,3
604,3
624,0
624,0
607,0
591,1
565,1
594,1
607,1
589,1
590,2
584,3
616,3
587,0
585,0
607,0
632,1
632,1
634,1
637,1
661,1
656,2
689,3
666,3
684,0
643,0
610,0
584,1
608,1
598,1
587,1
619,1
619,2
621,3
595,3
593,0
607,0
589,0
556,1
560,1
